g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	p(5)	
1	7	0.000929781	33.1411	0.929997	25.182	14.661	0.890727	46.9468
1	230	0.000970364	45.3891	0.72215	3.72926	57.7966	0.0619874	21.8414
1	213	0.000981805	25.6758	0.539189	81.0284	44.0712	0.366473	11.4866
1	6	0.00100271	25.559	0.534822	67.4261	44.3777	0.368449	23.0713
1	30	0.00102444	28.3343	0.9985	30.2206	80.2079	0.63816	24.6418
1	221	0.00105361	54.278	0.719959	34.9976	13.5184	0.0848401	72.9797
1	27	0.00109624	31.2882	0.196829	96.0363	3.1685	0.386311	3.36334
1	233	0.00112653	49.391	0.972009	51.2175	18.1065	0.559144	32.3238
1	40	0.00114177	6.66613	0.766008	19.1449	74.2441	0.364305	39.34
1	2	0.00116222	37.945	0.526904	37.9936	72.8759	0.310409	9.16808
1	215	0.00128929	30.9795	0.304848	3.70769	63.0659	0.241048	42.2815
1	237	0.00129221	56.5359	0.8466	81.2206	97.2563	0.196174	11.7988
1	38	0.00131243	38.2742	0.621572	1.8044	76.6679	0.324518	82.0514
1	218	0.00133357	5.51555	0.617473	81.1099	97.4697	0.327744	11.7183
1	244	0.00135792	66.2063	0.044813	24.2472	6.81401	0.0149382	80.3428
1	240	0.00137259	7.52445	0.859845	48.4988	49.9654	0.436818	57.9216
1	31	0.00143162	48.0558	0.759558	5.87931	94.5848	0.472218	41.947
1	26	0.00152787	68.0935	0.726768	3.76106	57.5951	0.0620673	21.8907
1	15	0.00152834	45.8532	0.307084	3.72745	91.9228	0.256755	52.806
1	12	0.00154612	66.1831	0.0446409	86.5556	69.1444	0.0148991	5.47976
1	35	0.00158097	74.7177	0.97246	51.5416	18.0129	0.238374	32.0469
1	23	0.0016114	29.4388	0.621791	96.1337	41.2935	0.721313	9.33568
1	20	0.00163255	18.6032	0.0960846	43.8653	61.6215	0.124996	51.167
1	32	0.00165072	56.3936	0.847293	97.6844	68.0856	0.688667	93.2298
1	29	0.0016703	74.9497	0.542732	69.1162	24.8903	0.183339	85.7337
1	247	0.0017037	29.297	0.615765	80.9923	52.9554	0.868581	4.94692
1	201	0.00178467	73.7186	0.415717	65.7805	77.0758	0.243199	48.9116
1	37	0.00185806	26.5725	0.255795	91.5275	86.0442	0.738188	75.4142
1	42	0.00187483	72.3152	0.60833	67.7949	25.3748	0.462295	86.8139
1	209	0.00187541	72.4131	0.620002	1.81283	25.5086	0.324889	81.9674
1	219	0.00188783	85.78	0.615132	22.803	76.4833	0.244329	48.3617
1	217	0.00190713	73.5919	0.779397	31.335	75.404	0.770546	2.14705
1	14	0.00190984	73.1483	0.772305	66.1694	82.7819	0.880482	3.06236
1	16	0.00192413	63.1841	0.499699	31.0764	75.0638	0.776819	2.13714
1	243	0.00193516	95.3307	0.0446252	87.1677	96.7729	0.0150223	34.0591
1	206	0.00194266	89.3826	0.672131	81.9349	24.7649	0.260154	1.60675
1	1	0.00194532	85.9477	0.415741	22.8566	77.0081	0.243472	48.7605
1	246	0.00198028	98.3708	0.974698	37.024	71.8035	0.239327	82.2622
1	45	0.00198174	90.8093	0.843284	16.576	30.9195	0.300099	12.0391
1	210	0.00200416	71.7386	0.385984	10.0631	96.7933	1	34.0475
1	241	0.00200856	34.9212	0.0853143	80.4798	93.6843	0.474689	55.1246
1	4	0.00203384	25.2065	0.161323	36.9506	26.3498	0.261319	4.2318
1	224	0.00203784	81.7338	0.537739	67.6436	43.9765	0.341653	22.8486
1	250	0.00204231	96.0422	0.196487	95.7337	3.19314	0.38804	83.1748
1	28	0.00204252	95.2096	0.587165	80.804	15.0441	0.407042	11.3762
2	251	0.000397691	29.4063	0.729008	80.741	52.8158	0.0620946	21.895
2	252	0.00044896	18.7166	0.966966	51.5474	18.147	0.560272	50.8978
2	34	0.000453312	17.1598	0.86578	54.8188	27.3198	0.342803	16.2099
2	260	0.000617078	33.0211	0.925233	25.3532	18.0109	0.502524	58.3578
2	283	0.000656684	25.5932	0.544281	80.9774	44.2582	0.257685	53.3164
2	33	0.000784213	5.52503	0.876408	81.7261	96.8211	0.197057	11.771
2	280	0.000844261	37.8882	0.0447048	81.8103	44.2888	0.0151364	5.39795
2	259	0.000849596	45.274	0.692917	34.5798	14.9216	0.192041	11.4267
2	265	0.000888217	19.1664	0.793133	60.444	30.5812	0.555352	17.869
2	253	0.000898048	37.9176	0.719613	1.78988	76.0906	0.0697287	82.6876
2	205	0.00090467	45.6518	0.687197	34.5888	46.8937	0.0845912	55.354
2	21	0.000916854	45.6778	0.687172	34.6934	57.3035	0.0848618	55.8439
2	267	0.000919905	38.277	0.544799	86.2021	73.0683	0.184425	84.9102
2	211	0.000922211	38.0403	0.0450676	85.9772	73.2093	0.0150474	5.42968
2	7	0.000929781	33.1411	0.929997	25.182	14.661	0.890727	46.9468
2	255	0.000939711	37.8189	0.848638	97.5831	72.5634	0.309577	9.09128
2	230	0.000970364	45.3891	0.72215	3.72926	57.7966	0.0619874	21.8414
2	271	0.000973221	44.9712	0.720365	3.73906	81.4095	0.0622356	21.9489
2	266	0.000980459	38.2542	0.527093	85.1656	27.3818	0.311066	5.43977
2	213	0.000981805	25.6758	0.539189	81.0284	44.0712	0.366473	11.4866
2	6	0.00100271	25.559	0.534822	67.4261	44.3777	0.368449	23.0713
2	288	0.00101564	25.3907	0.529783	81.1299	43.7321	0.371259	23.1221
2	30	0.00102444	28.3343	0.9985	30.2206	80.2079	0.63816	24.6418
2	275	0.00104742	54.2165	0.717989	67.4799	13.5189	0.08402	23.1722
2	221	0.00105361	54.278	0.719959	34.9976	13.5184	0.0848401	72.9797
2	27	0.00109624	31.2882	0.196829	96.0363	3.1685	0.386311	3.36334
2	233	0.00112653	49.391	0.972009	51.2175	18.1065	0.559144	32.3238
2	40	0.00114177	6.66613	0.766008	19.1449	74.2441	0.364305	39.34
2	2	0.00116222	37.945	0.526904	37.9936	72.8759	0.310409	9.16808
2	290	0.001203	38.3987	0.84107	1.81054	76.293	0.324787	82.5662
2	273	0.00124671	6.69036	0.674786	81.8599	74.9298	0.36216	39.3488
2	281	0.00127376	29.389	0.305813	3.67615	41.5673	0.242202	42.4699
2	215	0.00128929	30.9795	0.304848	3.70769	63.0659	0.241048	42.2815
2	269	0.00129169	49.1973	0.976491	51.4688	30.2689	0.554764	32.0708
2	237	0.00129221	56.5359	0.8466	81.2206	97.2563	0.196174	11.7988
2	38	0.00131243	38.2742	0.621572	1.8044	76.6679	0.324518	82.0514
2	289	0.00131656	5.54309	0.614764	36.7914	97.5238	0.329774	83.0483
2	218	0.00133357	5.51555	0.617473	81.1099	97.4697	0.327744	11.7183
2	244	0.00135792	66.2063	0.044813	24.2472	6.81401	0.0149382	80.3428
2	240	0.00137259	7.52445	0.859845	48.4988	49.9654	0.436818	57.9216
2	31	0.00143162	48.0558	0.759558	5.87931	94.5848	0.472218	41.947
2	272	0.00148752	18.6936	0.0956075	43.4604	76.9629	0.124679	50.7627
2	287	0.00149462	71.3669	0.387921	10.0679	97.6485	0.0147606	34.2918
2	26	0.00152787	68.0935	0.726768	3.76106	57.5951	0.0620673	21.8907
2	15	0.00152834	45.8532	0.307084	3.72745	91.9228	0.256755	52.806
2	12	0.00154612	66.1831	0.0446409	86.5556	69.1444	0.0148991	5.47976
2	254	0.0015701	31.5648	0.623439	96.4389	41.1828	0.728346	3.34335
2	35	0.00158097	74.7177	0.97246	51.5416	18.0129	0.238374	32.0469
2	293	0.00160547	74.4632	0.787338	69.3714	24.8154	0.183255	18.0398
2	23	0.0016114	29.4388	0.621791	96.1337	41.2935	0.721313	9.33568
3	342	0.000241641	17.0632	0.872317	55.0223	18.2473	0.344748	16.301
3	323	0.00039086	29.2088	0.932271	3.66774	14.7009	0.242139	46.7239
3	251	0.000397691	26.4657	0.656107	72.6669	58.0974	0.0558852	24.0845
3	320	0.00040458	29.6232	0.729507	80.877	52.943	0.0622677	22.0881
3	252	0.00044896	18.7166	0.966966	51.5474	18.147	0.560272	50.8978
3	34	0.000453312	17.1598	0.86578	54.8188	27.3198	0.342803	16.2099
3	316	0.000486462	29.3167	0.873916	96.6178	27.3449	0.343507	9.36243
3	340	0.000508673	25.9156	0.786104	80.8912	30.4099	0.364393	17.8935
3	348	0.000601427	30.9101	0.307785	68.069	63.4778	0.0839805	23.2833
3	260	0.000617078	33.0211	0.925233	25.3532	18.0109	0.502524	58.3578
3	321	0.000646625	28.3929	0.998393	36.8656	80.4789	0.328509	83.4428
3	283	0.000656684	25.5932	0.544281	80.9774	44.2582	0.257685	53.3164
3	331	0.000661572	25.7018	0.541255	43.1693	44.1086	0.256375	53.0402
3	327	0.000666556	38.1825	0.789644	37.9641	24.9725	0.18283	17.9921
3	337	0.000668932	37.9926	0.684765	34.5929	46.572	0.0150503	5.40756
3	311	0.000671651	30.7894	0.198288	3.73162	3.16745	0.241534	21.0459
3	317	0.000671899	29.1183	0.843316	81.2551	97.637	0.241186	11.7549
3	307	0.000756415	25.8488	0.543248	82.6087	74.5842	0.256351	53.1948
3	33	0.000784213	5.52503	0.876408	81.7261	96.8211	0.197057	11.771
3	310	0.000814927	38.1833	0.695356	1.7753	14.943	0.0691648	82.7522
3	336	0.000824809	31.7434	0.619827	85.6485	40.7848	0.308183	5.44407
3	280	0.000844261	37.8882	0.0447048	81.8103	44.2888	0.0151364	5.39795
3	259	0.000849596	45.274	0.692917	34.5798	14.9216	0.192041	11.4267
3	301	0.00087256	44.7345	0.723054	85.3575	72.8683	0.0621694	85.5358
3	344	0.00088604	45.7222	0.686843	80.6046	14.9696	0.255909	11.3855
3	265	0.000888217	19.1664	0.793133	60.444	30.5812	0.555352	17.869
3	332	0.000888477	19.218	0.796521	60.4718	30.749	0.556298	54.9538
3	326	0.000893409	45.234	0.715826	94.1057	81.0887	0.0618864	9.23304
3	253	0.000898048	37.9176	0.719613	1.78988	76.0906	0.0697287	82.6876
3	205	0.00090467	45.6518	0.687197	34.5888	46.8937	0.0845912	55.354
3	21	0.000916854	45.6778	0.687172	34.6934	57.3035	0.0848618	55.8439
3	267	0.000919905	38.277	0.544799	86.2021	73.0683	0.184425	84.9102
3	349	0.000920805	38.5241	0.714101	1.7767	76.1248	0.0695423	81.943
3	211	0.000922211	38.0403	0.0450676	85.9772	73.2093	0.0150474	5.42968
3	7	0.000929781	33.1411	0.929997	25.182	14.661	0.890727	46.9468
3	315	0.000938197	37.963	0.727132	80.7696	72.5375	0.256456	5.48096
3	255	0.000939711	37.8189	0.848638	97.5831	72.5634	0.309577	9.09128
3	309	0.00096282	31.2319	0.543112	3.72846	62.5996	0.258487	42.6332
3	305	0.000966964	44.979	0.544054	3.75345	44.2982	0.0615365	53.2583
3	230	0.000970364	45.3891	0.72215	3.72926	57.7966	0.0619874	21.8414
3	271	0.000973221	44.9712	0.720365	3.73906	81.4095	0.0622356	21.9489
3	343	0.000976554	45.5349	0.919796	3.70596	17.8358	0.258025	53.0264
3	266	0.000980459	38.2542	0.527093	85.1656	27.3818	0.311066	5.43977
3	213	0.000981805	25.6758	0.539189	81.0284	44.0712	0.366473	11.4866
3	6	0.00100271	25.559	0.534822	67.4261	44.3777	0.368449	23.0713
3	346	0.00100736	45.4303	0.385862	9.99892	97.3863	0.062285	34.0116
3	288	0.00101564	25.3907	0.529783	81.1299	43.7321	0.371259	23.1221
3	347	0.00101699	45.7171	0.482115	3.74232	58.0674	0.0619517	52.6505
3	30	0.00102444	28.3343	0.9985	30.2206	80.2079	0.63816	24.6418
3	275	0.00104742	54.2165	0.717989	67.4799	13.5189	0.08402	23.1722
4	342	0.000241641	15.3568	0.959549	49.5201	17.303	0.379222	14.6709
4	367	0.000368994	29.483	0.877886	81.1567	27.4923	0.197863	11.8862
4	323	0.00039086	29.2088	0.932271	3.66774	14.7009	0.242139	46.7239
4	358	0.000394371	18.775	0.971413	34.3426	14.8239	0.556189	11.4186
4	251	0.000397691	26.4657	0.656107	72.6669	58.0974	0.0558852	24.0845
4	357	0.000399858	29.4521	0.735455	81.3163	53.1077	0.0615693	22.1603
4	399	0.000402853	25.4599	0.679387	34.4424	46.4679	0.0150691	5.39137
4	320	0.00040458	29.6232	0.729507	80.877	52.943	0.0622677	22.0881
4	361	0.000406459	29.7031	0.715636	80.9181	52.8811	0.0624492	21.9465
4	252	0.00044896	18.7166	0.966966	51.5474	18.147	0.560272	50.8978
4	34	0.000453312	17.1598	0.86578	54.8188	27.3198	0.342803	16.2099
4	396	0.000470652	25.8805	0.731108	43.168	43.7111	0.257247	22.8791
4	316	0.000486462	29.3167	0.873916	96.6178	27.3449	0.343507	9.36243
4	340	0.000508673	25.9156	0.786104	80.8912	30.4099	0.364393	17.8935
4	352	0.000573977	16.9536	0.542929	54.7904	44.0141	0.256072	16.348
4	348	0.000601427	30.9101	0.307785	68.069	63.4778	0.0839805	23.2833
4	355	0.000605348	37.3215	0.694689	35.0331	14.8358	0.193438	11.4216
4	362	0.000613393	30.9816	0.938256	25.0596	63.1842	0.257853	42.5269
4	260	0.000617078	33.0211	0.925233	25.3532	18.0109	0.502524	58.3578
4	321	0.000646625	28.3929	0.998393	36.8656	80.4789	0.328509	83.4428
4	383	0.000653576	37.5296	0.54381	81.8288	44.2455	0.0152048	11.5839
4	395	0.000654372	30.5206	0.199871	68.0309	3.16124	0.241524	21.0042
4	283	0.000656684	25.5932	0.544281	80.9774	44.2582	0.257685	53.3164
4	331	0.000661572	25.7018	0.541255	43.1693	44.1086	0.256375	53.0402
4	327	0.000666556	38.1825	0.789644	37.9641	24.9725	0.18283	17.9921
4	388	0.000667299	25.6271	0.53899	81.1741	44.4313	0.25804	53.0862
4	337	0.000668932	37.9926	0.684765	34.5929	46.572	0.0150503	5.40756
4	311	0.000671651	30.7894	0.198288	3.73162	3.16745	0.241534	21.0459
4	317	0.000671899	29.1183	0.843316	81.2551	97.637	0.241186	11.7549
4	394	0.00067695	38.2503	0.924365	34.6863	46.5449	0.0150491	53.372
4	382	0.000683074	37.9911	0.684286	9.92991	98.346	0.0149067	5.42077
4	371	0.000683872	37.9637	0.997253	36.5586	79.6857	0.0703505	83.1019
4	387	0.000693987	37.8738	0.721873	85.3477	76.1965	0.0701772	5.40557
4	379	0.000699121	37.7107	0.716463	67.6783	75.985	0.0842538	23.3518
4	307	0.000756415	25.8488	0.543248	82.6087	74.5842	0.256351	53.1948
4	33	0.000784213	5.52503	0.876408	81.7261	96.8211	0.197057	11.771
4	370	0.000791098	33.1313	0.0454111	25.4994	72.6603	0.0151263	5.45485
4	310	0.000814927	38.1833	0.695356	1.7753	14.943	0.0691648	82.7522
4	336	0.000824809	31.7434	0.619827	85.6485	40.7848	0.308183	5.44407
4	364	0.000836188	45.1299	0.927543	50.5379	14.5957	0.241731	21.7299
4	400	0.000838944	38.0497	0.697879	1.76276	25.1027	0.0691438	17.8811
4	280	0.000844261	37.8882	0.0447048	81.8103	44.2888	0.0151364	5.39795
4	259	0.000849596	45.274	0.692917	34.5798	14.9216	0.192041	11.4267
4	351	0.000868536	31.5252	0.544007	80.3908	63.0708	0.256149	11.5767
4	301	0.00087256	44.7345	0.723054	85.3575	72.8683	0.0621694	85.5358
4	344	0.00088604	45.7222	0.686843	80.6046	14.9696	0.255909	11.3855
4	265	0.000888217	19.1664	0.793133	60.444	30.5812	0.555352	17.869
4	332	0.000888477	19.218	0.796521	60.4718	30.749	0.556298	54.9538
4	385	0.000889796	44.7408	0.720311	3.68698	14.5563	0.0623814	21.8617
4	326	0.000893409	45.234	0.715826	94.1057	81.0887	0.0618864	9.23304
5	434	0.000138798	18.8855	0.976993	67.5274	63.3487	0.0840877	11.4471
5	342	0.000241641	15.3568	0.959549	49.5201	17.303	0.379222	14.6709
5	405	0.000257178	25.3935	0.695955	81.6063	15.018	0.260134	83.192
5	432	0.000301046	17.1288	0.734601	42.9553	43.4765	0.254695	23.0906
5	417	0.000301776	25.8839	0.722632	80.4121	81.4051	0.0620955	9.29927
5	441	0.00031321	26.2725	0.657559	72.8497	81.0871	0.0622219	24.2451
5	418	0.000331632	25.9271	0.79217	3.74751	3.18346	0.365025	1.73331
5	427	0.000366314	29.4395	0.734306	37.7516	24.9528	0.182301	21.8869
5	367	0.000368994	29.483	0.877886	81.1567	27.4923	0.197863	11.8862
5	323	0.00039086	29.2088	0.932271	3.66774	14.7009	0.242139	46.7239
5	419	0.000392572	29.217	0.73911	81.2713	52.5018	0.0611544	21.9632
5	411	0.00039394	29.2863	0.73585	80.6227	52.6339	0.0616808	86.1986
5	358	0.000394371	18.775	0.971413	34.3426	14.8239	0.556189	11.4186
5	251	0.000397691	26.4657	0.656107	72.6669	58.0974	0.0558852	24.0845
5	357	0.000399858	29.4521	0.735455	81.3163	53.1077	0.0615693	22.1603
5	399	0.000402853	25.4599	0.679387	34.4424	46.4679	0.0150691	5.39137
5	320	0.00040458	29.6232	0.729507	80.877	52.943	0.0622677	22.0881
5	361	0.000406459	29.7031	0.715636	80.9181	52.8811	0.0624492	21.9465
5	413	0.00040857	29.2553	0.724069	3.7018	14.6157	0.0624565	46.7216
5	401	0.000413224	29.7976	0.84363	81.3559	46.4611	0.0619946	21.904
5	422	0.000419444	29.4136	0.7301	3.6683	14.6076	0.243373	22.13
5	443	0.000425849	25.7989	0.918906	34.4822	44.4994	0.0151868	53.3909
5	416	0.000433328	31.283	0.931036	25.171	27.3536	0.197501	42.4821
5	252	0.00044896	18.7166	0.966966	51.5474	18.147	0.560272	50.8978
5	34	0.000453312	17.1598	0.86578	54.8188	27.3198	0.342803	16.2099
5	444	0.00046016	25.8581	0.989447	81.762	79.7309	0.255496	82.9704
5	396	0.000470652	25.8805	0.731108	43.168	43.7111	0.257247	22.8791
5	316	0.000486462	29.3167	0.873916	96.6178	27.3449	0.343507	9.36243
5	340	0.000508673	25.9156	0.786104	80.8912	30.4099	0.364393	17.8935
5	439	0.000526107	26.0492	0.784166	84.7641	30.4981	0.367052	5.36495
5	428	0.000529152	32.0103	0.872807	85.0904	46.5541	0.0150274	5.47646
5	352	0.000573977	16.9536	0.542929	54.7904	44.0141	0.256072	16.348
5	448	0.000576794	30.764	0.197753	81.0126	3.13644	0.198406	11.8145
5	348	0.000601427	30.9101	0.307785	68.069	63.4778	0.0839805	23.2833
5	355	0.000605348	37.3215	0.694689	35.0331	14.8358	0.193438	11.4216
5	362	0.000613393	30.9816	0.938256	25.0596	63.1842	0.257853	42.5269
5	260	0.000617078	33.0211	0.925233	25.3532	18.0109	0.502524	58.3578
5	415	0.000624979	37.4281	0.0450268	34.8297	14.8489	0.0151194	5.41306
5	438	0.00062959	37.6468	0.738161	34.9114	14.7211	0.255553	22.9734
5	437	0.000640335	19.3055	0.54701	60.5026	74.6099	0.254975	53.2461
5	435	0.000645616	38.031	0.684234	50.6075	14.4807	0.242983	5.45234
5	321	0.000646625	28.3929	0.998393	36.8656	80.4789	0.328509	83.4428
5	383	0.000653576	37.5296	0.54381	81.8288	44.2455	0.0152048	11.5839
5	395	0.000654372	30.5206	0.199871	68.0309	3.16124	0.241524	21.0042
5	420	0.000655235	30.7351	0.200808	25.1278	3.141	0.242677	20.8026
5	283	0.000656684	25.5932	0.544281	80.9774	44.2582	0.257685	53.3164
5	436	0.000661428	37.8184	0.540109	36.4007	44.6322	0.0152471	82.3515
5	331	0.000661572	25.7018	0.541255	43.1693	44.1086	0.256375	53.0402
5	327	0.000666556	38.1825	0.789644	37.9641	24.9725	0.18283	17.9921
5	388	0.000667299	25.6271	0.53899	81.1741	44.4313	0.25804	53.0862
6	456	0.000115784	18.6491	0.970275	37.8795	25.1095	0.181744	21.7928
6	434	0.000138798	16.997	1	60.7747	57.0138	0.0924965	10.3024
6	462	0.000170325	14.436	0.988194	81.1473	44.1441	0.256282	11.6404
6	498	0.000179896	17.1021	0.971166	43.1988	17.9767	0.253126	15.094
6	342	0.000241641	15.3568	0.959549	49.5201	17.303	0.379222	14.6709
6	405	0.000257178	25.3935	0.695955	81.6063	15.018	0.260134	83.192
6	460	0.000259104	16.8629	0.542981	3.72747	14.6674	0.0621696	46.4185
6	496	0.000271767	19.4231	0.541942	60.4184	14.6161	0.254104	53.3716
6	432	0.000301046	17.1288	0.734601	42.9553	43.4765	0.254695	23.0906
6	417	0.000301776	25.8839	0.722632	80.4121	81.4051	0.0620955	9.29927
6	441	0.00031321	26.2725	0.657559	72.8497	81.0871	0.0622219	24.2451
6	497	0.000317463	25.85	0.784764	84.5836	30.2652	0.240713	5.31771
6	418	0.000331632	25.9271	0.79217	3.74751	3.18346	0.365025	1.73331
6	459	0.000357033	25.7739	0.719738	3.70207	44.6957	0.0152248	53.5197
6	427	0.000366314	29.4395	0.734306	37.7516	24.9528	0.182301	21.8869
6	367	0.000368994	29.483	0.877886	81.1567	27.4923	0.197863	11.8862
6	478	0.000387067	25.931	0.814827	3.73217	14.5299	0.367672	1.74209
6	481	0.000390045	29.0801	0.411615	82.0403	52.12	0.0608518	21.9234
6	489	0.000390163	28.9643	0.725734	67.117	63.0175	0.0844982	47.0677
6	323	0.00039086	29.2088	0.932271	3.66774	14.7009	0.242139	46.7239
6	419	0.000392572	29.217	0.73911	81.2713	52.5018	0.0611544	21.9632
6	411	0.00039394	29.2863	0.73585	80.6227	52.6339	0.0616808	86.1986
6	358	0.000394371	18.775	0.971413	34.3426	14.8239	0.556189	11.4186
6	251	0.000397691	26.4657	0.656107	72.6669	58.0974	0.0558852	24.0845
6	357	0.000399858	29.4521	0.735455	81.3163	53.1077	0.0615693	22.1603
6	451	0.000401511	29.4813	0.72495	45.1181	53.194	0.0617056	21.9381
6	463	0.000402537	29.5045	0.728326	80.5535	55.654	0.0618754	22.013
6	399	0.000402853	25.4599	0.679387	34.4424	46.4679	0.0150691	5.39137
6	320	0.00040458	29.6232	0.729507	80.877	52.943	0.0622677	22.0881
6	476	0.000405959	29.2323	0.971404	81.3306	52.1178	0.0613454	11.4008
6	457	0.00040598	29.3923	0.730565	68.6551	63.5807	0.0842911	23.3844
6	361	0.000406459	29.7031	0.715636	80.9181	52.8811	0.0624492	21.9465
6	492	0.000407419	29.0649	0.731162	3.71291	14.5058	0.0559308	24.2142
6	413	0.00040857	29.2553	0.724069	3.7018	14.6157	0.0624565	46.7216
6	470	0.00041117	29.7745	0.876995	81.059	27.4466	0.256437	52.9506
6	474	0.000411882	29.2783	0.700005	81.4331	14.9544	0.06152	22.1909
6	453	0.000413004	29.9867	0.729671	82.0192	46.619	0.0617168	21.9809
6	401	0.000413224	29.7976	0.84363	81.3559	46.4611	0.0619946	21.904
6	422	0.000419444	29.4136	0.7301	3.6683	14.6076	0.243373	22.13
6	464	0.000423731	29.5604	0.661836	81.003	80.5657	0.0619218	21.9025
6	461	0.00042419	29.1664	0.726693	3.69892	8.71012	0.0553508	24.1651
6	468	0.000424478	29.791	0.714914	80.7979	14.7336	0.0629543	46.6072
6	477	0.000425374	30.071	0.723174	80.5788	61.355	0.0623165	9.34404
6	443	0.000425849	25.7989	0.918906	34.4822	44.4994	0.0151868	53.3909
6	454	0.000426827	30.8202	0.305187	37.8244	24.9427	0.0847003	49.7395
6	416	0.000433328	31.283	0.931036	25.171	27.3536	0.197501	42.4821
6	469	0.000442991	26.0545	0.926933	81.5863	30.2619	0.0150363	53.8811
6	252	0.00044896	18.7166	0.966966	51.5474	18.147	0.560272	50.8978
