g	nindividual	cost	p(0)	p(1)	p(2)	p(3)	p(4)	
4	54	0.219322	30330.8	4104	0.0651618	0.143615	2808.44
4	4	0.228825	30484.1	4471.11	0.0651651	0.144897	2546.91
4	53	0.353963	29944.7	3659.04	0.0657552	0.145245	3148.32
4	52	0.438354	32385.1	6919.48	0.11389	0.134303	2484
4	56	0.445358	31594.4	7007.55	0.112704	0.195895	2477.44
4	59	0.518593	30305.7	6987.05	0.112701	0.195922	1571.05
4	51	0.799871	31218.9	7006.73	0.117369	0.145985	3146.87
4	44	0.863012	31400.6	6969.06	0.112446	0.194843	3432.82
4	57	0.881206	31306.7	5819.81	0.11326	0.233818	3449.2
4	45	0.943223	30297.1	7018.22	0.111764	0.196815	3540.55
5	70	0.100385	30551	4493.68	0.0651277	0.135576	2472.58
5	63	0.128478	32394.5	4450.8	0.065609	0.135044	2569.09
5	54	0.219322	30528.9	4514.4	0.0651238	0.143615	2527.6
5	4	0.228825	30484.1	4471.11	0.0651651	0.144897	2546.91
5	69	0.237038	30257.6	6991.04	0.0654436	0.195004	1585.8
5	53	0.353963	29944.7	3659.04	0.0657552	0.145245	3148.32
5	67	0.436816	32409.5	6995.85	0.113444	0.195613	2493.41
5	52	0.438354	32385.1	6919.48	0.11389	0.134303	2484
5	56	0.445358	31594.4	7007.55	0.112704	0.195895	2477.44
5	62	0.47364	29987.9	6970.6	0.113111	0.145096	2393.66
6	70	0.100385	30886.7	4673.25	0.0650352	0.135576	2225.32
6	63	0.128478	32394.5	4450.8	0.065609	0.135044	2569.09
6	78	0.128687	32110.5	3007.16	0.0654495	0.134503	2476.8
6	73	0.131541	32182.7	4473.29	0.0656862	0.133957	2574.58
6	54	0.219322	30528.9	4514.4	0.0651238	0.143615	2527.6
6	4	0.228825	30484.1	4471.11	0.0651651	0.144897	2546.91
6	69	0.237038	30257.6	6991.04	0.0654436	0.195004	1585.8
6	72	0.240653	30666.9	7057.89	0.0649855	0.194636	1593.76
6	77	0.270069	30417	6871.33	0.0645914	0.135871	2476.38
6	71	0.283847	30539	6940.17	0.0647283	0.193838	2495.31
7	70	0.0306747	31022.2	4580.16	0.0650056	0.135576	2002.79
7	86	0.0906795	32031.5	4466.02	0.0660888	0.133341	2462.12
7	63	0.128478	32394.5	4450.8	0.065609	0.135044	2569.09
7	78	0.128687	32110.5	3007.16	0.0654495	0.134503	2476.8
7	90	0.131351	30285.6	4429.19	0.0644269	0.146059	2557.76
7	73	0.131541	32182.7	4473.29	0.0656862	0.133957	2574.58
7	82	0.138173	30270.5	3014.48	0.0648236	0.134781	2467.97
7	89	0.181838	30449.3	4495.83	0.0650317	0.143645	1581.41
7	54	0.219322	30528.9	4514.4	0.0651238	0.143615	2527.6
7	4	0.228825	30484.1	4471.11	0.0651651	0.144897	2546.91
8	70	1.36653e-05	31034	4569.07	0.0650003	0.135576	2000.01
8	100	0.0170157	32051	4389.26	0.0655486	0.135636	2187.74
8	96	0.0895999	32086.8	4429.65	0.0649659	0.134542	2458.93
8	86	0.0906795	32031.5	4466.02	0.0660888	0.133341	2462.12
8	97	0.115805	32337.5	4512.38	0.0652848	0.145436	2525.69
8	63	0.128478	32394.5	4450.8	0.065609	0.135044	2569.09
8	78	0.128687	32110.5	3007.16	0.0654495	0.134503	2476.8
8	90	0.131351	30285.6	4429.19	0.0644269	0.146059	2557.76
8	73	0.131541	32182.7	4473.29	0.0656862	0.133957	2574.58
8	93	0.131696	32186.1	4410.93	0.0641757	0.134722	2575.49
9	70	4.7578e-10	31034	4569	0.0650003	0.135576	2000
9	109	0.000831801	30748.9	4570.23	0.0661645	0.136833	1985.46
9	100	0.0170157	32051	4389.26	0.0655486	0.135636	2187.74
9	108	0.0883913	32474	4442.86	0.0654407	0.134234	2455.61
9	105	0.088974	30781.7	4551.19	0.0654739	0.136208	2437.5
9	96	0.0895999	32086.8	4429.65	0.0649659	0.134542	2458.93
9	86	0.0906795	32031.5	4466.02	0.0660888	0.133341	2462.12
9	97	0.115805	32337.5	4512.38	0.0652848	0.145436	2525.69
9	101	0.117327	31294.2	4401.61	0.0648685	0.14749	2536.87
9	107	0.119881	31769.4	4430.49	0.0661905	0.135885	2547.79
10	70	1.30498e-12	31034	4569	0.0650003	0.135576	2000
10	109	0.000831801	30748.9	4570.23	0.0661645	0.136833	1985.46
10	100	0.0170157	32051	4389.26	0.0655486	0.135636	2187.74
10	111	0.0815955	31800	4424.62	0.0654585	0.132306	2436.42
10	115	0.0822653	30702.4	4580.47	0.0658806	0.135551	2414.1
10	114	0.0869983	31129.9	4468.57	0.0652558	0.146218	2443.48
10	108	0.0883913	32474	4442.86	0.0654407	0.134234	2455.61
10	105	0.088974	30781.7	4551.19	0.0654739	0.136208	2437.5
10	96	0.0895999	32086.8	4429.65	0.0649659	0.134542	2458.93
10	86	0.0906795	32031.5	4466.02	0.0660888	0.133341	2462.12
11	70	1.30498e-12	31034	4569	0.0650003	0.135576	2000
11	109	0.000831801	30748.9	4570.23	0.0661645	0.136833	1985.46
11	130	0.0013066	30520.6	4598.78	0.0659516	0.136641	1971.68
11	125	0.00141933	31911.2	4607.72	0.0658523	0.134202	1975.18
11	123	0.00313738	32403.5	4428.88	0.0647789	0.136168	2001.98
11	124	0.00421654	30453.8	4408.18	0.0661024	0.138088	1971.49
11	100	0.0170157	32051	4389.26	0.0655486	0.135636	2187.74
11	126	0.0210882	32325.8	4584.25	0.0656112	0.134891	2191.62
11	111	0.0815955	31800	4424.62	0.0654585	0.132306	2436.42
11	115	0.0822653	30702.4	4580.47	0.0658806	0.135551	2414.1
12	70	1.30498e-12	31034	4569	0.0650003	0.135576	2000
12	133	0.000557753	31320.9	4596.29	0.0664232	0.135563	1982.24
12	109	0.000831801	30748.9	4570.23	0.0661645	0.136833	1985.46
12	130	0.0013066	30520.6	4598.78	0.0659516	0.136641	1971.68
12	137	0.00136137	30582.4	4604.04	0.066258	0.134773	1973.43
12	125	0.00141933	31911.2	4607.72	0.0658523	0.134202	1975.18
12	140	0.00218479	30671.5	4527.51	0.0663972	0.136515	1967.99
12	123	0.00313738	32403.5	4428.88	0.0647789	0.136168	2001.98
12	134	0.00341888	32443	4536.76	0.0643647	0.136719	1996.84
12	138	0.00411343	31782.7	4383.03	0.0654535	0.133333	1962.13
13	70	1.30498e-12	31034	4569	0.0650003	0.135576	2000
13	148	0.000480051	30786.4	4631.93	0.0660336	0.136708	1990.47
13	141	0.000531894	30813.5	4587.52	0.0659722	0.133736	1985.44
13	133	0.000557753	31320.9	4596.29	0.0664232	0.135563	1982.24
13	109	0.000831801	30748.9	4570.23	0.0661645	0.136833	1985.46
13	150	0.00120126	31174.1	4571.4	0.066114	0.135667	1964.77
13	144	0.00122691	30971.9	4609.51	0.0630463	0.134978	2008.24
13	130	0.0013066	30520.6	4598.78	0.0659516	0.136641	1971.68
13	137	0.00136137	30582.4	4604.04	0.066258	0.134773	1973.43
13	125	0.00141933	31911.2	4607.72	0.0658523	0.134202	1975.18
14	70	1.30498e-12	31034	4569	0.0650003	0.135576	2000
14	154	0.00045384	30710.2	4567.35	0.0655373	0.136819	1987.38
14	148	0.000480051	30786.4	4631.93	0.0660336	0.136708	1990.47
14	141	0.000531894	30813.5	4587.52	0.0659722	0.133736	1985.44
14	133	0.000557753	31320.9	4596.29	0.0664232	0.135563	1982.24
14	153	0.000671459	31514	4564.38	0.0661269	0.135146	1981.27
14	109	0.000831801	30748.9	4570.23	0.0661645	0.136833	1985.46
14	155	0.00101213	30649.4	4621.63	0.0662462	0.13441	1978.72
14	150	0.00120126	31174.1	4571.4	0.066114	0.135667	1964.77
14	144	0.00122691	30971.9	4609.51	0.0630463	0.134978	2008.24
15	70	1.30498e-12	31034	4569	0.0650003	0.135576	2000
15	167	0.000246677	31306.6	4571.06	0.0647667	0.135308	2011.63
15	162	0.000346934	31051.3	4620.6	0.0657226	0.135489	1979.32
15	168	0.000428975	31423.8	4612.27	0.0667089	0.135388	2000.18
15	154	0.00045384	30710.2	4567.35	0.0655373	0.136819	1987.38
15	148	0.000480051	30786.4	4631.93	0.0660336	0.136708	1990.47
15	163	0.000483909	30661.7	4578.66	0.0656446	0.134248	1992.15
15	141	0.000531894	30813.5	4587.52	0.0659722	0.133736	1985.44
15	133	0.000557753	31320.9	4596.29	0.0664232	0.135563	1982.24
15	170	0.000614653	30996	4646.56	0.0665719	0.134273	2005.77
16	70	1.30498e-12	31034	4569	0.0650003	0.135576	2000
16	167	0.000246677	31306.6	4571.06	0.0647667	0.135308	2011.63
16	177	0.000257526	30652.4	4569.07	0.0645754	0.134403	2009.31
16	162	0.000346934	31051.3	4620.6	0.0657226	0.135489	1979.32
16	168	0.000428975	31423.8	4612.27	0.0667089	0.135388	2000.18
16	154	0.00045384	30710.2	4567.35	0.0655373	0.136819	1987.38
16	148	0.000480051	30786.4	4631.93	0.0660336	0.136708	1990.47
16	163	0.000483909	30661.7	4578.66	0.0656446	0.134248	1992.15
16	141	0.000531894	30813.5	4587.52	0.0659722	0.133736	1985.44
16	133	0.000557753	31320.9	4596.29	0.0664232	0.135563	1982.24
